BicycleId,ProperCode,SeenCode,MagneticLock
57713,4924,2296,1
57615,4702,4702,1
57649,9101,9101,1
57510,8076,6765,1
63729,8290,4000,1
57525,6070,6840,0
57043,8066,8535,1
63720,1625,1956,1
57783,8463,8463,1
57435,3306,4470,0
57091,9760,9649,0
63747,2262,2261,1
57663,7282,7171,1
57753,9419,1423,1
57197,6332,4111,1
57104,6887,6877,1
57962,8126,8166,0
57960,7624,9278,1
63730,7236,7860,1
63720,1625,7860,1
57233,8265,1504,1
57969,9942,8635,1
57480,8302,7171,1
57875,4924,4924,1
63717,3068,3069,1
57694,1515,9174,1
57847,4606,6928,1
57347,4513,4303,1
57514,8807,8897,1
57878,6621,6628,1
57748,8113,8112,1
57006,6170,7403,1
57557,5120,4020,1
57661,1891,1011,1
57964,8097,8090,1
57586,5700,3145,0
57169,1333,9002,0
57084,9092,7092,0
57660,3978,3180,0
57647,3807,3896,0
57428,1086,2207,1
57537,3082,3070,1
57388,1580,1690,0
57871,9909,9900,1
57633,6679,7779,0
57385,2568,2898,1
57942,8570,8913,1
57359,2240,2062,0
57536,6639,5206,0
57455,9208,3444,0
57502,2223,8559,1
57679,7873,1953,1
57577,3207,3218,1
57565,9500,8268,1
57712,8681,8683,1
57258,1442,3539,0
57869,9245,9135,0
57319,8845,8844,1
57874,5752,5753,1
63842,2401,0370,0
57824,4393,4273,1
57067,1381,9181,0
57691,7331,7664,1
57706,1361,1360,1
57004,6782,5563,0
57785,5191,6422,0
57318,7972,7963,1
57169,1333,9113,0
57551,4437,9181,0
57660,3978,8793,1
57911,8369,8361,0
57675,4736,8183,0
57004,6782,5562,0
57056,3357,3357,0
57785,5191,3871,0
57314,9255,9225,0
57020,5477,3145,0
