"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","OneplusT_f2:a1:d8","HuaweiTe_1a:46:74","802.11","198","Probe Response, SN=1208, FN=0, Flags=........, BI=100, SSID=jamnik"
"2","0.000000","OneplusT_f2:a1:d8","HuaweiTe_1a:46:74","802.11","198","Probe Response, SN=1208, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"3","0.000519","OneplusT_f2:a1:d8","HuaweiTe_1a:46:74","802.11","198","Probe Response, SN=1211, FN=0, Flags=........, BI=100, SSID=jamnik"
"4","0.000519","OneplusT_f2:a1:d8","HuaweiTe_1a:46:74","802.11","198","Probe Response, SN=1211, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"5","0.000518","OneplusT_f2:a1:d8","HuaweiTe_1a:46:74","802.11","198","Probe Response, SN=1211, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"6","0.000479","","HuaweiTe_91:18:1f (1c:67:58:91:18:1f) (RA)","802.11","10","Acknowledgement, Flags=........"
"7","0.066055","OneplusT_f2:a1:d8","Broadcast","802.11","208","Beacon frame, SN=1212, FN=0, Flags=........, BI=100, SSID=jamnik"
"8","0.081926","OneplusT_f2:a1:d8","HuaweiTe_1a:46:74","802.11","198","Probe Response, SN=1213, FN=0, Flags=........, BI=100, SSID=jamnik"
"9","0.083973","OneplusT_f2:a1:d8","HuaweiTe_1a:46:74","802.11","198","Probe Response, SN=1213, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"10","0.087045","OneplusT_f2:a1:d8","HuaweiTe_1a:46:74","802.11","198","Probe Response, SN=1213, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"11","0.213574","OneplusT_f2:a1:d8","42:09:e5:27:49:7e","802.11","198","Probe Response, SN=1215, FN=0, Flags=........, BI=100, SSID=jamnik"
"12","0.288838","OneplusT_f2:a1:d8","Shenzhen_af:ee:3a","802.11","198","Probe Response, SN=1217, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"13","0.294470","OneplusT_f2:a1:d8","Shenzhen_af:ee:3a","802.11","198","Probe Response, SN=1217, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"14","0.298023","","HuaweiTe_14:8e:6e (b0:55:08:14:8e:6e) (RA)","802.11","10","Acknowledgement, Flags=........"
"15","0.307751","","HuaweiTe_14:8e:6e (b0:55:08:14:8e:6e) (RA)","802.11","10","Acknowledgement, Flags=........"
"16","0.337990","OneplusT_f2:a1:d8","Shenzhen_af:ee:3a","802.11","198","Probe Response, SN=1218, FN=0, Flags=........, BI=100, SSID=jamnik"
"17","0.339526","OneplusT_f2:a1:d8","Shenzhen_af:ee:3a","802.11","198","Probe Response, SN=1218, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"18","0.341574","OneplusT_f2:a1:d8","Shenzhen_af:ee:3a","802.11","198","Probe Response, SN=1218, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"19","0.377883","","HuaweiTe_91:18:1f (1c:67:58:91:18:1f) (RA)","802.11","10","Acknowledgement, Flags=........"
"20","0.417862","OneplusT_f2:a1:d8","Motorola_d8:ad:88","802.11","175","Probe Response, SN=2489, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"21","0.419910","OneplusT_f2:a1:d8","Motorola_d8:ad:88","802.11","175","Probe Response, SN=2489, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"22","0.421445","OneplusT_f2:a1:d8","Motorola_d8:ad:88","802.11","175","Probe Response, SN=2489, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"23","0.423493","OneplusT_f2:a1:d8","Motorola_d8:ad:88","802.11","175","Probe Response, SN=2489, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"24","0.425016","OneplusT_f2:a1:d8","Motorola_d8:ad:88","802.11","175","Probe Response, SN=2489, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"25","0.426567","OneplusT_f2:a1:d8","Motorola_d8:ad:88","802.11","175","Probe Response, SN=2489, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"26","0.437271","","Tp-LinkT_41:70:6e (ac:84:c6:41:70:6e) (RA)","802.11","10","Acknowledgement, Flags=........"
"27","0.467014","OneplusT_f2:a1:d8","Motorola_d8:ad:88","802.11","175","Probe Response, SN=2490, FN=0, Flags=........, BI=100, SSID=jamnik"
"28","0.468551","OneplusT_f2:a1:d8","Motorola_d8:ad:88","802.11","175","Probe Response, SN=2490, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"29","0.470598","OneplusT_f2:a1:d8","Motorola_d8:ad:88","802.11","175","Probe Response, SN=2490, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"30","0.472135","OneplusT_f2:a1:d8","Motorola_d8:ad:88","802.11","175","Probe Response, SN=2490, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"31","0.473669","OneplusT_f2:a1:d8","Motorola_d8:ad:88","802.11","175","Probe Response, SN=2490, FN=0, Flags=....R..., BI=100, SSID=jamnik"
